id,title,price,currency_id,available_quantity,sold_quantity,condition,category_id,permalink
MLA1911254292,Apple Tv 4k (wifi + Ethernet) A2843 4k 128gb Negro,400000,ARS,,,used,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1911254292-apple-tv-4k-wifi-ethernet-a2843-4k-128gb-negro-_JM
MLA2030681232,Apple Tv A1625 De Voz 4.a Gen 2015 Full Hd 32gb,199000,ARS,,,used,MLA352001,https://articulo.mercadolibre.com.ar/MLA-2030681232-apple-tv-a1625-de-voz-4a-gen-2015-full-hd-32gb-_JM
MLA1441306967,Amazon Convertidor Fire Tv Stick Lite Alexa Voice Smart Tv,143675,ARS,,,new,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1441306967-amazon-convertidor-fire-tv-stick-lite-alexa-voice-smart-tv-_JM
MLA1361515563,Parlante Inteligente Google Home Mini Smart Speaker Spotify,58990,ARS,,,used,MLA409415,https://articulo.mercadolibre.com.ar/MLA-1361515563-parlante-inteligente-google-home-mini-smart-speaker-spotify-_JM
MLA1480521428,Smart Tv Onn Uhd Streaming Device 2° Gen 4k Color Negro,176451,ARS,,,new,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1480521428-smart-tv-onn-uhd-streaming-device-2-gen-4k-color-negro-_JM
MLA1458709043,Amazon Fire Tv Stick 4k Max 16 Gb Wifi 6 Ultra Rápido 2023,113999,ARS,,,new,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1458709043-amazon-fire-tv-stick-4k-max-16-gb-wifi-6-ultra-rapido-2023-_JM
MLA2013720360,"Apple Tv Modelo A1427 Con Control ,hdmi Y Cable Alimentación Negro Estándar",39999,ARS,,,used,MLA352001,https://articulo.mercadolibre.com.ar/MLA-2013720360-apple-tv-modelo-a1427-con-control-hdmi-y-cable-alimentacion-negro-estandar-_JM
MLA1436930383,Apple Tv A1427 Estándar 3.ªgeneracion,80500,ARS,,,used,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1436930383-apple-tv-a1427-estandar-3generacion-_JM
MLA930506223,Soporte Montaje Embutido Pared Google Home Hub Mountgenie,19900,ARS,,,new,MLA409415,https://articulo.mercadolibre.com.ar/MLA-930506223-soporte-montaje-embutido-pared-google-home-hub-mountgenie-_JM
MLA1398755255,Google Home Mini Google Assistant Chalk 110v/220v Ref,55990,ARS,,,new,MLA409415,https://articulo.mercadolibre.com.ar/MLA-1398755255-google-home-mini-google-assistant-chalk-110v220v-ref-_JM
MLA1460688751,Apple Tv Hd 4.a Generación 2015 A1625 / 32 Gb,180000,ARS,,,used,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1460688751-apple-tv-hd-4a-generacion-2015-a1625-32-gb-_JM
MLA1918238052,Amazon Fire Tv Stick 4k Ultra Hd Max 16gb 2nda Generación Wi-fi 6e Color Negro Tipo De Control Remoto Estándar,96199,ARS,,,new,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1918238052-amazon-fire-tv-stick-4k-ultra-hd-max-16gb-2nda-generacion-wi-fi-6e-color-negro-tipo-de-control-remoto-estandar-_JM
MLA1469093151,Amazon Fire Tv Stick 4k 2023 Wifi 6 2gb Ram Con Alexa Negro,89999,ARS,,,new,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1469093151-amazon-fire-tv-stick-4k-2023-wifi-6-2gb-ram-con-alexa-negro-_JM
MLA2028975238,Amazon Fire Tv Stick 4.ª Generación (2024) Alexa Voice Remote Hd Streaming Negro,65999,ARS,,,new,MLA352001,https://articulo.mercadolibre.com.ar/MLA-2028975238-amazon-fire-tv-stick-4-generacion-2024-alexa-voice-remote-hd-streaming-negro-_JM
MLA2030554468,Apple Tv A1625 Soporte Pared 1080p Youtube Netflix Disney+,172000,ARS,,,used,MLA352001,https://articulo.mercadolibre.com.ar/MLA-2030554468-apple-tv-a1625-soporte-pared-1080p-youtube-netflix-disney-_JM
