Economy ISO3,Economy Name,Indicator ID,Indicator,Attribute 1,Attribute 2,Attribute 3,Partner,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AND,Andorra,ITU.DDD.21,Male Internet users as a % of total male population,Actual,-,-,-,,,,,,,,92.9,,,,,,
AND,Andorra,ITU.DDD.24,Mobile cellular basket as a % of GNI p.c.,Actual,-,-,-,,,,,,,,,,,,,0.0,
AND,Andorra,ITU.DDD.26,Mobile data and voice basket (low consumption) as a % of GNI p.c.,Actual,-,-,-,,,,,,,,,,,,,0.0,
AND,Andorra,ITU.DDD.27,Mobile-cellular subscriptions per 100 inhabitants,Actual,-,-,-,91.6,92.2,89.9,89.6,92.5,99.4,105.0,108.8,110.1,115.2,103.4,118.7,142.2,
AND,Andorra,ITU.DDD.28,Monthly fixed broadband Internet traffic per fixed broadband subscription (MB),Actual,-,-,-,,,,,,,50133.5,66438.3,92261.6,133357.6,,234494.1,264397.0,
AND,Andorra,ITU.DDD.29,Monthly mobile broadband Internet traffic per mobile broadband subscription (MB),Actual,-,-,-,,,,,,,,,1020.0,1000.3,,1928.2,2344.3,
AND,Andorra,ITU.DDD.30,Population covered by a mobile-cellular network (%),Actual,-,-,-,99.1,99.1,99.1,99.1,99.1,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,
AND,Andorra,ITU.DDD.31,Population covered by at least a 3G mobile network (%),Actual,-,-,-,95.3,95.3,95.3,95.3,95.3,97.0,97.0,98.0,98.0,98.0,99.5,99.5,99.5,
AND,Andorra,ITU.DDD.32,Population covered by at least a 4G mobile network (%),Actual,-,-,-,,,,,,50.0,50.0,85.0,85.0,,89.0,93.0,97.0,
AND,Andorra,ITU.DDD.32,Population covered by at least a 4G mobile network (%),Estimate,-,-,-,,,,,,,,,,85.0,,,,
AND,Andorra,ITU.DDD.33,Total fixed broadband subscriptions,Actual,-,-,-,24502.0,25763.0,26905.0,27734.0,28770.0,30694.0,32490.0,34284.0,35663.0,36358.0,37650.0,39399.0,40813.0,
AND,Andorra,ITU.DDD.4,Fixed broadband basket as a % of GNI p.c.,Actual,-,-,-,,,,,,,,,,,,,0.0,
AND,Andorra,ITU.DDD.5,Fixed broadband subscriptions per 100 inhabitants,Actual,-,-,-,34.3,36.5,37.9,38.9,40.2,42.8,44.8,46.4,47.5,47.6,48.5,49.9,51.1,
AND,Andorra,ITU.DDD.6,Fixed broadband subscriptions: >10 Mbit/s,Actual,-,-,-,11238.0,17426.0,21667.0,25543.0,28622.0,30694.0,32490.0,34284.0,35663.0,36358.0,,37131.0,38644.0,
AND,Andorra,ITU.DDD.7,Fixed broadband subscriptions: 2 to 10 Mbit/s,Actual,-,-,-,2699.0,1738.0,1035.0,412.0,32.0,0.0,0.0,0.0,0.0,,,0.0,0.0,
AND,Andorra,ITU.DDD.8,Fixed broadband subscriptions: 256kbit/s - <2Mbit/s,Actual,-,-,-,10565.0,6599.0,4203.0,1179.0,116.0,0.0,0.0,0.0,0.0,,,2268.0,2169.0,
AND,Andorra,ITU.DDD.9,Fixed-telephone subscriptions per 100 inhabitants,Actual,-,-,-,53.4,54.4,54.0,54.0,53.4,54.1,53.3,52.0,52.5,51.9,62.6,63.0,63.7,
ARE,United Arab Emirates,ITU.DDD.1,Active mobile-broadband subscriptions per 100 inhabitants,Actual,-,-,-,13.3,20.0,47.6,95.1,96.2,140.6,169.9,252.3,263.5,254.4,238.8,241.2,234.9,
ARE,United Arab Emirates,ITU.DDD.10,Households with a computer at home (%),Actual,-,-,-,,,85.2,,87.9,,91.0,92.7,95.4,96.1,98.3,99.3,99.4,
ARE,United Arab Emirates,ITU.DDD.11,Households with Internet access at home (%),Actual,-,-,-,,,72.0,,90.1,,94.3,96.9,98.4,99.1,99.8,99.9,100.0,
ARE,United Arab Emirates,ITU.DDD.14,Individuals owning a mobile phone (%),Actual,-,-,-,,,,,99.7,,99.2,99.4,99.9,99.9,100.0,100.0,100.0,
ARE,United Arab Emirates,ITU.DDD.15,"Individuals using the Internet, total (%)",Actual,-,-,-,68.0,,85.0,,90.4,,90.6,94.8,98.5,99.1,100.0,100.0,100.0,
ARE,United Arab Emirates,ITU.DDD.15,"Individuals using the Internet, total (%)",Estimate,-,-,-,,78.0,,88.0,,90.5,,,,,,,,
ARE,United Arab Emirates,ITU.DDD.16,International bandwidth per Internet user (kbit/s),Actual,-,-,-,18222.5,22799.8,34469.4,61832.7,85136.5,196513.3,257601.8,314255.4,376846.1,427873.5,586968.8,715304.8,931022.3,
ARE,United Arab Emirates,ITU.DDD.18,Internet users: 15-24 years as a % of all 15-24 years,Actual,-,-,-,,,41.2,,,,,,,,100.0,100.0,100.0,
ARE,United Arab Emirates,ITU.DDD.19,Internet users: 25-74 years as a % of all 25-74 years,Actual,-,-,-,,,99.8,,,,,,,,100.0,100.0,100.0,
ARE,United Arab Emirates,ITU.DDD.2,Female Internet users as a % of total female population,Actual,-,-,-,,,83.2,,,,88.9,92.5,98.8,99.5,100.0,100.0,100.0,
ARE,United Arab Emirates,ITU.DDD.21,Male Internet users as a % of total male population,Actual,-,-,-,,,85.6,,,,91.5,96.0,98.3,99.0,100.0,100.0,100.0,
ARE,United Arab Emirates,ITU.DDD.22,Male mobile phone ownership as a % of total male population,Actual,-,-,-,,,,,,,99.2,99.4,99.8,99.8,100.0,100.0,100.0,
ARE,United Arab Emirates,ITU.DDD.23,Mobile broadband basket as a % of GNI p.c.,Actual,-,-,-,,,,,,,,,0.8,0.8,0.8,0.6,0.8,
ARE,United Arab Emirates,ITU.DDD.24,Mobile cellular basket as a % of GNI p.c.,Actual,-,-,-,,,,,,,,,0.1,0.1,0.1,0.1,0.1,
ARE,United Arab Emirates,ITU.DDD.25,Mobile data and voice basket (high consumption) as a % of GNI p.c.,Actual,-,-,-,,,,,,,,,1.0,1.0,0.9,0.9,1.1,
ARE,United Arab Emirates,ITU.DDD.26,Mobile data and voice basket (low consumption) as a % of GNI p.c.,Actual,-,-,-,,,,,,,,,0.4,0.4,0.4,0.4,0.4,
ARE,United Arab Emirates,ITU.DDD.27,Mobile-cellular subscriptions per 100 inhabitants,Actual,-,-,-,128.8,136.8,159.0,183.5,190.3,201.2,221.3,218.6,219.7,212.8,197.8,194.7,212.2,
ARE,United Arab Emirates,ITU.DDD.28,Monthly fixed broadband Internet traffic per fixed broadband subscription (MB),Actual,-,-,-,,,,,,,224134.3,292801.0,290399.9,290412.3,375948.8,431936.6,551218.4,
ARE,United Arab Emirates,ITU.DDD.29,Monthly mobile broadband Internet traffic per mobile broadband subscription (MB),Actual,-,-,-,,,,,490.2,797.7,1090.4,1128.9,2114.4,2357.2,2987.1,4390.5,8341.5,
ARE,United Arab Emirates,ITU.DDD.3,Female mobile phone ownership as a % of total female population,Actual,-,-,-,,,,,,,99.3,99.4,100.0,100.0,100.0,100.0,100.0,
ARE,United Arab Emirates,ITU.DDD.30,Population covered by a mobile-cellular network (%),Actual,-,-,-,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
ARE,United Arab Emirates,ITU.DDD.31,Population covered by at least a 3G mobile network (%),Actual,-,-,-,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
ARE,United Arab Emirates,ITU.DDD.32,Population covered by at least a 4G mobile network (%),Actual,-,-,-,,,,,85.0,95.3,99.6,99.6,99.7,99.8,99.8,99.8,99.8,
ARE,United Arab Emirates,ITU.DDD.32,Population covered by at least a 4G mobile network (%),Estimate,-,-,-,,,82.0,83.5,,,,,,,,,,
ARE,United Arab Emirates,ITU.DDD.33,Total fixed broadband subscriptions,Actual,-,-,-,786818.0,866968.0,954988.0,1041934.0,1091763.0,1234447.0,1297585.0,2761830.0,3024565.0,3045957.0,3245123.0,3573055.0,3774064.0,
ARE,United Arab Emirates,ITU.DDD.4,Fixed broadband basket as a % of GNI p.c.,Actual,-,-,-,,,,,,,,,0.6,0.6,0.6,0.5,0.7,
ARE,United Arab Emirates,ITU.DDD.5,Fixed broadband subscriptions per 100 inhabitants,Actual,-,-,-,9.3,10.1,11.0,11.9,12.4,13.8,14.4,30.5,33.1,33.1,34.9,38.2,40.0,
ARE,United Arab Emirates,ITU.DDD.6,Fixed broadband subscriptions: >10 Mbit/s,Actual,-,-,-,44075.0,77342.0,100686.0,265262.0,535321.0,846001.0,1021843.0,2392126.0,2764067.0,2866018.0,3136849.0,3403683.0,3626237.0,
ARE,United Arab Emirates,ITU.DDD.7,Fixed broadband subscriptions: 2 to 10 Mbit/s,Actual,-,-,-,251296.0,377227.0,475206.0,476157.0,318244.0,211434.0,161323.0,226939.0,158861.0,111305.0,61607.0,129076.0,118570.0,
ARE,United Arab Emirates,ITU.DDD.8,Fixed broadband subscriptions: 256kbit/s - <2Mbit/s,Actual,-,-,-,500810.0,415575.0,379096.0,300515.0,238198.0,177012.0,114419.0,142765.0,101637.0,68634.0,46667.0,40296.0,29257.0,
ARE,United Arab Emirates,ITU.DDD.9,Fixed-telephone subscriptions per 100 inhabitants,Actual,-,-,-,17.4,21.3,22.7,23.8,23.8,25.3,25.4,25.6,25.6,25.6,25.6,24.0,24.2,
ARG,Argentina,ITU.DDD.1,Active mobile-broadband subscriptions per 100 inhabitants,Actual,-,-,-,4.9,16.9,16.1,31.4,52.4,76.4,,80.4,,72.1,68.9,72.9,,
ARG,Argentina,ITU.DDD.10,Households with a computer at home (%),Actual,-,-,-,47.0,52.8,,,,,66.0,64.3,63.0,60.9,63.8,64.1,62.6,
ARG,Argentina,ITU.DDD.11,Households with Internet access at home (%),Actual,-,-,-,,43.8,,,,,71.8,75.9,80.3,82.9,90.0,90.4,92.1,
ARG,Argentina,ITU.DDD.13,"Households with Internet access at home, urban (%)",Actual,-,-,-,,,,,,,71.8,75.9,,,,,,
ARG,Argentina,ITU.DDD.14,Individuals owning a mobile phone (%),Actual,-,-,-,,,,,,,,,,84.3,87.9,88.1,89.3,
ARG,Argentina,ITU.DDD.15,"Individuals using the Internet, total (%)",Actual,-,-,-,,,,,,68.0,71.0,74.3,77.7,79.9,85.5,87.2,88.4,
ARG,Argentina,ITU.DDD.15,"Individuals using the Internet, total (%)",Estimate,-,-,-,45.0,51.0,55.8,59.9,64.7,,,,,,,,,
ARG,Argentina,ITU.DDD.16,International bandwidth per Internet user (kbit/s),Actual,-,-,-,16291.5,18125.4,18955.4,23513.5,32453.3,35010.1,39568.6,42162.7,,,,,,
ARG,Argentina,ITU.DDD.17,Internet users: < 15 years as a % of all < 15 years,Actual,-,-,-,,,,,,,72.2,72.1,,,,84.8,,
ARG,Argentina,ITU.DDD.18,Internet users: 15-24 years as a % of all 15-24 years,Actual,-,-,-,,,,,,,86.7,89.6,,,,94.8,,
ARG,Argentina,ITU.DDD.19,Internet users: 25-74 years as a % of all 25-74 years,Actual,-,-,-,,,,,,,71.1,75.4,,,,89.5,,
